"","id","lu_mgt","et_check","eplant_check","sw_check","cn_check","et","eplant","esoil","cn","sw_final"
"5618",8773,"field_8782_drn_lum_8773_1",NA,"eplant < esoil",NA,NA,481.086,221.899,247.553,72.869,152.704
"5619",8776,"field_8785_drn_lum_8776_1",NA,"eplant < esoil",NA,NA,467.3,189.029,269.53,64.403,192.548
"5620",8778,"field_8787_drn_lum_8778_1",NA,"eplant < esoil",NA,NA,483.761,210.866,263.937,64.078,149.572
"5621",8780,"field_8789_drn_lum_8780_1",NA,"eplant < esoil",NA,NA,491.663,221.436,260.961,64.089,60.365
"5622",8781,"field_8790_drn_lum_8781_1",NA,"eplant < esoil",NA,NA,488.098,225.27,252.711,64.109,78.509
"5623",8782,"field_8791_drn_lum_8782_1",NA,"eplant < esoil",NA,NA,485.811,223.63,247.286,72.805,78.504
"5624",8789,"field_8798_drn_lum_8789_1",NA,"eplant < esoil",NA,NA,481.542,219.283,242.076,64.058,57.641
"5625",8790,"field_8799_drn_lum_8790_1",NA,"eplant < esoil",NA,NA,462.494,219.567,229.039,64.246,174.411
"5626",8791,"field_8800_drn_lum_8791_1",NA,"eplant < esoil",NA,NA,490.363,233.517,246.312,63.957,75.819
"5627",8792,"field_8801_drn_lum_8792_1",NA,"eplant < esoil",NA,NA,480.492,222.685,247.166,63.992,119.491
"5628",8794,"field_8803_drn_lum_8794_1",NA,"eplant < esoil",NA,NA,490.061,233.556,245.814,64.089,210.983
"5629",8795,"field_8804_drn_lum_8795_1",NA,"eplant < esoil",NA,NA,483.764,213.713,261.094,64.16,149.085
"5630",8796,"alfa_drn_lum_8796_1","et < 98% precip",NA,NA,NA,502.104,264.159,190.563,37.962,70.503
"5631",8797,"field_8806_drn_lum_8797_1",NA,"eplant < esoil",NA,NA,471.505,152.193,312.187,73.035,115.074
"5632",8798,"field_8807_drn_lum_8798_1",NA,"eplant < esoil",NA,NA,483.856,216.986,258.139,72.869,79.104
"5633",8800,"field_8809_drn_lum_8800_1",NA,"eplant < esoil",NA,NA,469.301,207.672,251.001,72.963,95.963
"5634",8802,"field_8811_drn_lum_8802_1",NA,"eplant < esoil",NA,NA,413.433,184.449,220.03,78.704,85.197
"5635",8803,"field_8812_drn_lum_8803_1",NA,"eplant < esoil",NA,NA,459.513,202.522,249.028,73.175,207.311
"5636",8804,"field_8813_drn_lum_8804_1",NA,"eplant < esoil",NA,NA,469.548,220.299,237.82,72.971,103.751
"5637",8807,"field_8816_drn_lum_8807_1",NA,"eplant < esoil",NA,NA,491.734,237.485,245.162,72.899,211.662
"5638",8808,"field_8817_drn_lum_8808_1",NA,"eplant < esoil",NA,NA,494.022,220.209,261.563,72.848,100.866
"5639",8809,"field_8818_drn_lum_8809_1",NA,"eplant < esoil",NA,NA,481.724,221.851,239.144,72.818,61.285
"5640",8810,"field_8819_drn_lum_8810_1",NA,"eplant < esoil",NA,NA,466.713,184.497,275.845,73.184,195.22
"5641",8811,"field_8820_drn_lum_8811_1",NA,"eplant < esoil",NA,NA,479.588,230.311,238.209,72.886,156.421
"5642",8815,"field_8824_drn_lum_8815_1",NA,"eplant < esoil",NA,NA,476.568,224.42,239.063,72.958,78.655
"5643",8816,"field_8825_drn_lum_8816_1",NA,"eplant < esoil",NA,NA,482.478,214.719,258.732,72.992,135.493
"5644",8818,"field_8827_drn_lum_8818_1",NA,"eplant < esoil",NA,NA,478.287,198.978,267.403,72.984,87.578
"5645",8819,"field_8828_drn_lum_8819_1",NA,"eplant < esoil",NA,NA,481.786,226.788,243.145,72.924,60.986
"5646",8822,"field_8831_drn_lum_8822_1",NA,"eplant < esoil",NA,NA,474.55,215.385,249.032,72.903,66.407
"5647",8823,"field_8832_drn_lum_8823_1",NA,"eplant < esoil",NA,NA,464.535,197.221,259.354,73.111,173.894
"5648",8824,"field_8833_drn_lum_8824_1",NA,"eplant < esoil",NA,NA,480.596,202.355,269.635,72.916,78.823
"5649",8825,"field_8834_drn_lum_8825_1",NA,"eplant < esoil",NA,NA,479.85,198.06,273.114,72.946,78.948
"5650",8826,"field_8835_drn_lum_8826_1",NA,"eplant < esoil",NA,NA,423.604,172.927,243.111,78.69,85.033
"5651",8827,"field_8836_drn_lum_8827_1",NA,"eplant < esoil",NA,NA,490.886,216.923,262.1,64.043,118.537
"5652",8828,"field_8837_drn_lum_8828_1",NA,"eplant < esoil",NA,NA,467.465,181.506,278.239,64.317,192.988
"5653",8829,"field_8838_drn_lum_8829_1",NA,"eplant < esoil",NA,NA,462.513,147.26,307.78,73.175,198.134
"5654",8830,"field_8839_drn_lum_8830_1",NA,"eplant < esoil",NA,NA,415.15,147.661,261.176,78.722,86.464
"5655",8833,"field_8842_drn_lum_8833_1",NA,"eplant < esoil",NA,NA,484.025,222.067,255.651,51.768,83.603
"5656",8837,"field_8846_drn_lum_8837_1",NA,"eplant < esoil",NA,NA,473.728,222.773,243.537,51.682,77.788
"5657",8839,"field_8848_drn_lum_8839_1",NA,"eplant < esoil",NA,NA,470.293,202.276,261.371,51.725,103.3
"5658",8841,"field_8850_drn_lum_8841_1",NA,"eplant < esoil",NA,NA,476.793,187.532,284.318,51.849,148.107
"5659",8842,"field_8851_drn_lum_8842_1",NA,"eplant < esoil",NA,NA,477.126,198.687,273.559,51.758,76.995
"5660",8844,"field_8853_drn_lum_8844_1",NA,"eplant < esoil",NA,NA,479.446,219.18,252.722,51.758,114.35
"5661",8845,"field_8854_drn_lum_8845_1",NA,"eplant < esoil",NA,NA,495.807,169.823,320.579,73.052,147.682
"5662",8852,"field_8861_drn_lum_8852_1",NA,"eplant < esoil",NA,NA,483.794,220.976,254.648,73.009,59.332
"5663",8853,"field_8862_drn_lum_8853_1",NA,"eplant < esoil",NA,NA,481.834,153.947,320.9,73.031,114.235
"5664",8858,"field_8867_drn_lum_8858_1","et < 98% precip",NA,NA,NA,501.27,273.824,211.382,72.771,148.891
"5665",8859,"field_8868_drn_lum_8859_1",NA,"eplant < esoil",NA,NA,474.667,185.375,282.422,72.997,85.126
"5666",8860,"field_8869_drn_lum_8860_1",NA,"eplant < esoil",NA,NA,485.566,203.571,274.729,72.992,58.704
"5667",8861,"field_8870_drn_lum_8861_1",NA,"eplant < esoil",NA,NA,465.631,217.708,235.882,78.774,100.211
"5668",8862,"field_8871_drn_lum_8862_1",NA,"eplant < esoil",NA,NA,489.231,228.744,247.741,64.043,69.199
"5669",8863,"field_8872_drn_lum_8863_1",NA,"eplant < esoil",NA,NA,487.461,232.617,244.954,64.068,62.865
"5670",8864,"field_8873_drn_lum_8864_1",NA,"eplant < esoil",NA,NA,469.783,199.329,262.538,64.261,182.737
"5671",8867,"field_8876_drn_lum_8867_1",NA,"eplant < esoil",NA,NA,458.593,171.601,280.125,51.94,117.119
